Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,4400.0,4462.5,4325.0,4437.5,3466.19287109375,126284600.0
2019-01-07,4437.5,4487.5,4400.0,4437.5,3466.19287109375,214771000.0
2019-01-14,4437.5,4700.0,4425.0,4612.5,3602.8876953125,228574200.0
2019-01-21,4612.5,4625.0,4487.5,4550.0,3554.068115234375,275488400.0
2019-01-28,4525.0,4662.5,4450.0,4562.5,3563.832275390625,279535600.0
2019-02-04,4562.5,4612.5,4450.0,4525.0,3534.540283203125,106616600.0
2019-02-11,4525.0,4537.5,4325.0,4487.5,3505.248779296875,176798600.0
2019-02-18,4487.5,4512.5,4325.0,4400.0,3436.901123046875,165589600.0
2019-02-25,4400.0,4500.0,4350.0,4475.0,3495.484619140625,140315200.0
2019-03-04,4462.5,4462.5,4337.5,4337.5,3388.08154296875,104752000.0
2019-03-11,4325.0,4675.0,4262.5,4675.0,3651.70751953125,139392400.0
2019-03-18,4662.5,4825.0,4575.0,4600.0,3593.124267578125,161471000.0
2019-03-25,4687.5,4750.0,4575.0,4725.0,3690.76318359375,66460800.0
2019-04-01,4750.0,4925.0,4700.0,4737.5,3700.527099609375,101143200.0
2019-04-08,4825.0,4900.0,4750.0,4825.0,3768.87451171875,105043600.0
2019-04-15,4825.0,5125.0,4812.5,4837.5,3778.63818359375,172501000.0
2019-04-22,4800.0,4962.5,4750.0,4812.5,3759.1103515625,198141400.0
2019-04-29,4812.5,4850.0,4375.0,4437.5,3466.19287109375,221581400.0
2019-05-06,4437.5,4525.0,4250.0,4250.0,3319.734130859375,239283400.0
2019-05-13,4225.0,4275.0,3912.5,4212.5,3290.4423828125,300702000.0
2019-05-20,4225.0,4412.5,4137.5,4350.0,3397.845458984375,243005000.0
2019-05-27,4325.0,4325.0,4012.5,4200.0,3441.794189453125,389965600.0
2019-06-03,4200.0,4362.5,4200.0,4337.5,3554.471923828125,101675200.0
2019-06-10,4300.0,4337.5,4212.5,4225.0,3462.28076171875,200860600.0
2019-06-17,4250.0,4512.5,4225.0,4437.5,3636.419189453125,280478400.0
2019-06-24,4475.0,4725.0,4425.0,4687.5,3841.2880859375,203750800.0
2019-07-01,4675.0,4700.0,4475.0,4487.5,3677.39306640625,170944200.0
2019-07-08,4487.5,4662.5,4487.5,4587.5,3759.340576171875,149581000.0
2019-07-15,4587.5,4600.0,4387.5,4425.0,3626.17578125,154106800.0
2019-07-22,4450.0,4462.5,4150.0,4175.0,3421.30712890625,313628400.0
2019-07-29,4150.0,4250.0,3950.0,3962.5,3247.168701171875,303053600.0
2019-08-05,3900.0,4087.5,3775.0,3962.5,3247.168701171875,246672000.0
2019-08-12,3937.5,4062.5,3912.5,3937.5,3226.681884765625,170177400.0
2019-08-19,3962.5,3962.5,3687.5,3750.0,3073.030517578125,198899400.0
2019-08-26,3725.0,3862.5,3725.0,3812.5,3124.24755859375,176019800.0
2019-09-02,3825.0,3837.5,3662.5,3775.0,3093.51708984375,178444000.0
2019-09-09,3775.0,4062.5,3775.0,3837.5,3144.734375,199872400.0
2019-09-16,3787.5,3975.0,3762.5,3787.5,3103.7607421875,165956200.0
2019-09-23,3787.5,3825.0,3575.0,3675.0,3011.569580078125,207399000.0
2019-09-30,3662.5,3700.0,3325.0,3337.5,2734.9970703125,218054800.0
2019-10-07,3375.0,3537.5,3350.0,3462.5,2837.431396484375,174797000.0
2019-10-14,3475.0,3750.0,3412.5,3687.5,3021.813232421875,271411800.0
2019-10-21,3712.5,4037.5,3600.0,3887.5,3185.7080078125,339809800.0
2019-10-28,3887.5,3925.0,3800.0,3812.5,3124.24755859375,177170400.0
2019-11-04,3800.0,3900.0,3637.5,3775.0,3093.51708984375,286885600.0
2019-11-11,3750.0,3800.0,3587.5,3712.5,3042.2998046875,225916400.0
2019-11-18,3737.5,3862.5,3687.5,3750.0,3073.030517578125,178922600.0
2019-11-25,3762.5,3850.0,3662.5,3775.0,3093.51708984375,205597200.0
2019-12-02,3762.5,3825.0,3712.5,3787.5,3103.7607421875,204343000.0
2019-12-09,3787.5,3875.0,3762.5,3850.0,3154.977783203125,229682600.0
2019-12-16,3850.0,3962.5,3825.0,3962.5,3247.168701171875,251741000.0
2019-12-23,3962.5,4000.0,3900.0,3925.0,3216.4384765625,90285200.0
2019-12-30,3925.0,3937.5,3800.0,3812.5,3124.24755859375,77103200.0
2020-01-06,3837.5,3912.5,3700.0,3887.5,3185.7080078125,189448800.0
2020-01-13,3912.5,3937.5,3762.5,3775.0,3093.51708984375,182498600.0
2020-01-20,3787.5,3887.5,3725.0,3725.0,3052.54345703125,185631000.0
2020-01-27,3700.0,3762.5,3537.5,3562.5,2919.37890625,197888200.0
2020-02-03,3612.5,3762.5,3587.5,3662.5,3001.326416015625,168471200.0
2020-02-10,3650.0,3825.0,3637.5,3812.5,3124.24755859375,161309200.0
2020-02-17,3825.0,3975.0,3737.5,3787.5,3103.7607421875,324165400.0
2020-02-24,3750.0,3812.5,3275.0,3375.0,2765.727294921875,352813000.0
2020-03-02,3425.0,3525.0,2800.0,2825.0,2459.42431640625,461214400.0
2020-03-09,2850.0,2962.5,2420.0,2420.0,2106.83447265625,504830000.0
2020-03-16,2415.0,2420.0,1695.0,1695.0,1475.65478515625,676170400.0
2020-03-23,1655.0,2120.0,1485.0,1860.0,1619.302490234375,1057821200.0
2020-03-30,1915.0,2150.0,1735.0,2145.0,1867.4215087890625,708289000.0
2020-04-06,2245.0,2325.0,1935.0,1995.0,1736.83251953125,400683800.0
2020-04-13,2000.0,2120.0,1975.0,2050.0,1784.715087890625,384457600.0
